Year,Agriculture (% of GDP),Industry (% of GDP),Services (% of GDP),Manufacturing (% of GDP)
1960,41.74133512,20.83434345,38.78246175,14.75011809
1961,41.0924822,21.43484397,38.3258752,15.35383648
1962,39.0659688,22.05260014,39.93584497,15.86329813
1963,39.82535168,21.87947583,38.0951803,15.75238835
1964,41.34371671,20.95528854,36.34082146,14.85073996
1965,39.38469726,21.65510507,37.45073819,15.01090777
1966,40.35165124,21.38661717,36.45979666,14.50399297
1967,42.75155802,20.08944288,34.60955551,13.23186125
1968,42.08602738,20.62711566,35.05413136,13.52278801
1969,41.58492358,21.41748463,34.30585261,14.14647158
1970,40.28961346,21.72930929,35.04687086,14.45654509
1971,38.63339119,22.39200791,35.80364908,14.98228674
1972,38.6268263,22.40800259,35.52165492,15.10254938
1973,41.60382462,21.34823029,32.94770562,15.01528531
1974,38.8780587,22.6756934,33.61059595,16.34591338
1975,35.99691484,23.20125208,35.1392414,15.83848666
1976,34.31203671,24.48052342,35.80372322,16.26588883
1977,35.77714426,24.40026254,34.66144961,16.08086893
1978,34.27396271,25.32441961,34.93936473,17.09644052
1979,32.82553002,25.99220623,35.52141473,17.85203449
1980,34.40886781,25.3362459,33.80725874,16.7523758
1981,33.29769742,26.10291921,33.87161864,16.77044375
1982,32.32674969,26.14980479,34.89683728,16.36999594
1983,32.60653488,26.29884329,34.52160063,16.66445469
1984,31.38053041,26.73913865,35.42081608,16.7078036
1985,29.71813836,26.62907122,36.11499977,16.41801286
1986,28.64114627,26.73083582,36.98846784,16.22158381
1987,27.9723784,26.69923652,37.45227949,16.20954935
1988,28.76982237,26.71158382,36.79644551,16.10153485
1989,27.8396058,27.55099348,37.22939798,16.9028459
1990,27.58488814,27.4536955,37.04478519,16.59759644
1991,27.66270541,26.44172018,37.78569002,15.67626016
1992,26.89691945,26.79274327,37.91256818,15.80079982
1993,27.05455877,26.78155428,38.49068492,15.91571211
1994,26.51993758,27.62820125,37.49630234,16.76413813
1995,24.45754779,28.59980942,37.84966812,17.8658506
1996,25.19930606,27.91227037,37.70932947,17.5963408
1997,24.24867451,27.83703076,39.07955152,16.51857853
1998,24.18045155,27.30303785,40.13256873,15.71931602
1999,22.97256189,26.51929335,41.96573779,15.18053671
2000,21.61106205,27.32582838,42.73292664,15.92702302
2001,21.61888489,26.48777734,43.80896126,15.30702128
2002,19.53454327,27.66065416,44.72882755,15.55870173
2003,19.59199798,27.47410712,44.70464565,15.58738665
2004,17.81469065,29.21910631,44.11485897,15.82724574
2005,17.62020695,29.53376419,44.44293292,15.97301704
2006,16.80944209,30.92723994,44.04323571,17.30365333
2007,16.75011976,30.90323825,44.00815792,16.86456778
2008,16.79094236,31.13671924,45.88254991,17.09867415
2009,16.74427016,31.12137211,45.98488281,17.14357767
2010,17.02650901,30.72507823,45.03374956,17.02993425
2011,17.19197356,30.16167976,45.44214525,16.13933744
2012,16.84537707,29.3985277,46.3011473,15.81692301
2013,17.14842354,28.40489956,46.69871477,15.25302269
2014,16.79193451,27.6564012,47.82241376,15.06557011
2015,16.17450811,27.34739148,47.78374812,15.58385459
2016,16.36380056,26.61899994,47.74940129,15.16223713
2017,16.5583314,26.50001665,47.67088997,15.01823875
2018,16.03163069,26.4120919,48.43156632,14.88153067
2019,16.7555683,24.59147531,50.08495785,13.45580756
2020,18.66853766,25.12290581,47.93268811,14.12048536
2021,17.37256153,26.46652361,47.84722346,14.37702885
2022,16.63943104,25.28406278,49.57693407,13.12247767
2023,15.99836213,25.03063332,49.5805964,12.93266398
